Student_ID,High_School_Graduation_GPA,Daily_Study_Hours,Weekly_Study_Hours,Field_of_Study,Gender,School_Type,Region,General_Study_Environment,Favorite_Subject,Target_University,Career_Goal,Exam_Stress_Level,OBP_to_be_Added_to_Score,TYT_Score,AYT_Score
0,99.95,9.4,45.5,Equal Weight,Male,Public,Marmara,Mixed,History,Foundation University,Engineer,3,60.0,406.331,404.959
1,74.81,7.2,35.0,Numerical,Female,Public,Marmara,Home,Mathematics,Foundation University,Software Developer,6,44.9,318.682,352.927
2,99.27,6.6,38.8,Numerical,Male,Private,Marmara,Library,Chemistry,METU (State),Engineer,0,59.6,404.237,425.693
3,93.41,6.7,40.0,Foreign Language,Male,Private,Eastern Anatolia,Library,French,ITU (State),Translator,4,56.0,362.795,384.729
4,62.99,4.3,29.5,Foreign Language,Male,Public,Black Sea,Home,English,Foundation University,Translator,8,37.8,284.069,278.938
5,70.62,6.0,29.8,Verbal,Female,Public,Central Anatolia,Library,Literature,Foundation University,Teacher,1,42.4,340.507,339.379
6,90.12,5.9,28.0,Numerical,Female,Private,Aegean,Library,Biology,Bilkent University (Foundation),Doctor,6,54.1,334.049,352.718
7,91.7,8.2,55.4,Verbal,Female,Public,Southeastern Anatolia,Cram School,History,Bogazici University (State),Teacher,1,55.0,372.659,370.67
8,70.58,3.7,24.7,Numerical,Female,Public,Marmara,Library,Physics,State University,Data Analyst,0,42.3,304.646,318.921
9,51.07,3.6,21.5,Equal Weight,Male,Private,Marmara,Home,Physics,State University,Lawyer,3,30.6,245.122,271.521
10,56.47,3.4,19.0,Numerical,Male,Public,Eastern Anatolia,Home,Mathematics,Sabanci University (Foundation),Physicist,8,33.9,234.244,302.231
11,62.39,6.9,47.4,Equal Weight,Female,Public,Mediterranean,Library,Geography,Foundation University,Teacher,4,37.4,299.891,301.186
12,71.61,4.0,22.6,Numerical,Female,Public,Marmara,Mixed,Physics,Koc University (Foundation),Engineer,10,43.0,275.112,285.41
13,69.63,5.7,26.6,Equal Weight,Female,Private,Marmara,Cram School,Biology,Koc University (Foundation),Engineer,8,41.8,305.401,334.145
14,60.78,3.9,18.9,Equal Weight,Female,Private,Eastern Anatolia,Home,History,Bilkent University (Foundation),Engineer,7,36.5,270.816,279.902
15,94.71,7.7,53.2,Equal Weight,Female,Private,Marmara,Library,History,Koc University (Foundation),Engineer,2,56.8,390.266,381.612
16,99.44,9.9,69.2,Verbal,Female,Private,Eastern Anatolia,Cram School,Literature,ITU (State),Social Worker,1,59.7,398.687,437.789
17,95.33,7.2,34.3,Equal Weight,Male,Public,Central Anatolia,Mixed,Geography,METU (State),Social Worker,0,57.2,355.875,386.738
18,89.65,8.4,40.5,Foreign Language,Male,Public,Aegean,Home,German,State University,Artist,5,53.8,346.226,384.234
19,74.02,7.2,34.5,Numerical,Male,Public,Central Anatolia,Cram School,Biology,Hacettepe University (State),Physicist,8,44.4,297.655,336.432
20,75.95,7.8,44.9,Equal Weight,Male,Public,Southeastern Anatolia,Mixed,Literature,METU (State),Journalist,2,45.6,306.185,348.184
21,68.03,5.8,28.4,Numerical,Male,Private,Marmara,Mixed,Biology,Foundation University,Engineer,7,40.8,313.885,331.959
22,61.29,6.6,44.5,Numerical,Male,Public,Aegean,Library,Mathematics,State University,Doctor,5,36.8,288.145,295.715
23,52.41,4.6,26.0,Verbal,Male,Public,Marmara,Mixed,Geography,Foundation University,Teacher,10,31.4,227.78,268.341
24,67.72,7.1,40.9,Equal Weight,Female,Private,Eastern Anatolia,Home,Biology,State University,Social Worker,6,40.6,294.759,306.869
25,69.66,6.1,30.5,Equal Weight,Female,Public,Marmara,Mixed,Biology,Bogazici University (State),Physicist,8,41.8,306.691,307.116
26,75.45,7.0,33.8,Verbal,Female,Public,Marmara,Home,Literature,Foundation University,Lawyer,2,45.3,322.02,362.163
27,67.6,4.7,31.9,Verbal,Female,Public,Marmara,Home,Literature,Foundation University,Lawyer,8,40.6,295.814,309.795
28,94.64,6.0,40.0,Numerical,Female,Private,Aegean,Mixed,Physics,Bogazici University (State),Doctor,7,56.8,353.254,361.864
29,93.4,9.2,53.7,Equal Weight,Male,Private,Aegean,Library,Literature,Sabanci University (Foundation),Journalist,1,56.0,394.903,399.538
30,73.5,6.6,31.2,Verbal,Female,Public,Marmara,Home,Literature,Koc University (Foundation),Social Worker,1,44.1,287.084,343.077
31,66.12,3.7,24.6,Equal Weight,Female,Private,Aegean,Home,Geography,Foundation University,Teacher,0,39.7,297.572,328.917
32,89.75,5.3,36.3,Equal Weight,Male,Private,Eastern Anatolia,Cram School,Literature,Foundation University,Data Analyst,7,53.8,373.871,344.156
33,65.31,3.7,21.3,Equal Weight,Female,Public,Marmara,Home,History,State University,Psychologist,5,39.2,283.255,290.955
34,85.17,6.2,41.8,Verbal,Female,Public,Aegean,Mixed,Literature,State University,Lawyer,8,51.1,341.019,343.477
35,51.46,2.6,11.2,Equal Weight,Male,Public,Marmara,Home,Mathematics,Foundation University,Doctor,7,30.9,239.755,248.341
36,52.85,3.0,19.4,Numerical,Female,Private,Black Sea,Home,Mathematics,State University,Software Developer,3,31.7,252.909,290.314
37,62.95,5.5,37.5,Verbal,Male,Public,Central Anatolia,Mixed,Literature,Foundation University,Journalist,3,37.8,276.868,318.999
38,71.46,4.9,22.8,Equal Weight,Female,Private,Marmara,Library,Geography,Foundation University,Doctor,8,42.9,288.874,315.043
39,81.7,6.1,41.5,Numerical,Female,Public,Central Anatolia,Cram School,Chemistry,State University,Software Developer,10,49.0,333.361,326.788
40,51.07,5.3,35.5,Verbal,Male,Public,Aegean,Home,Literature,Hacettepe University (State),Journalist,3,30.6,289.639,271.229
41,59.59,2.8,15.7,Foreign Language,Male,Public,Aegean,Library,Literature,Foundation University,Translator,9,35.8,255.707,270.776
