firm,year,ni,research
a,2018,10,10
a,2019,11,9
a,2020,12,10
a,2021,13,7
a,2022,14,8
b,2018,45,29
b,2019,46,23
b,2020,47,21
b,2021,48,19
b,2022,49,20
c,2018,33,35
c,2019,34,34
c,2020,35,33
c,2021,36,29
c,2022,37,29
d,2018,28,28
d,2019,29,28
d,2020,30,23
d,2021,31,24
d,2022,32,19
e,2018,17,18
e,2019,18,15
e,2020,19,17
e,2021,20,12
e,2022,21,11
f,2018,42,39
f,2019,43,38
f,2020,44,29
f,2021,45,22
f,2022,46,24
g,2018,13,12
g,2019,14,13
g,2020,15,10
g,2021,16,8
g,2022,17,5
h,2018,36,38
h,2019,37,38
h,2020,38,30
h,2021,39,31
h,2022,40,26
i,2018,8,10
i,2019,9,11
i,2020,10,8
i,2021,11,4
i,2022,12,1
j,2018,33,29
j,2019,34,28
j,2020,35,22
j,2021,36,19
j,2022,37,27
